mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3807514667510986,0.026009825211749146,0.02078099250793457,0.0021999457203897973,4,2,100,"{'clf__max_depth': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.8857142857142857,0.861904761904762,0.8421052631578947,0.8564593301435407,0.8708133971291866,0.8633994076099339,0.014537952086669614,33
0.7429959774017334,0.01975485827752802,0.03693976402282715,0.010855942830441131,4,2,200,"{'clf__max_depth': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.8857142857142857,0.861904761904762,0.8421052631578947,0.861244019138756,0.8755980861244019,0.8653132832080199,0.014756471098990176,20
1.1132506847381591,0.017759526773636458,0.054166316986083984,0.008407702186732752,4,2,300,"{'clf__max_depth': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.8857142857142857,0.861904761904762,0.8325358851674641,0.8660287081339713,0.8755980861244019,0.8643563454089771,0.017910260171989476,25
0.37969107627868653,0.013621865734694294,0.018862485885620117,0.0012783695890955186,4,5,100,"{'clf__max_depth': 4, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.8904761904761904,0.861904761904762,0.8421052631578947,0.8564593301435407,0.8708133971291866,0.8643517885623149,0.01604632975202455,28
0.7132261753082275,0.017644923642243553,0.0314208984375,0.0038867665050968414,4,5,200,"{'clf__max_depth': 4, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.8857142857142857,0.861904761904762,0.8421052631578947,0.861244019138756,0.8755980861244019,0.8653132832080199,0.014756471098990176,20
1.1334164619445801,0.029580896884932314,0.04428868293762207,0.003594077509157753,4,5,300,"{'clf__max_depth': 4, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.8857142857142857,0.861904761904762,0.8325358851674641,0.8660287081339713,0.8755980861244019,0.8643563454089771,0.017910260171989476,25
0.40291409492492675,0.0333883132052153,0.019450855255126954,0.0008747505783966814,4,10,100,"{'clf__max_depth': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}",0.8857142857142857,0.861904761904762,0.8421052631578947,0.861244019138756,0.8755980861244019,0.8653132832080199,0.014756471098990176,20
0.7094065189361572,0.026479380797142734,0.0313868522644043,0.0029463248063843254,4,10,200,"{'clf__max_depth': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}",0.8809523809523809,0.861904761904762,0.8421052631578947,0.861244019138756,0.8708133971291866,0.8634039644565961,0.012832725845415501,31
1.0331337928771973,0.015023994418408175,0.0394989013671875,0.0011526191449307548,4,10,300,"{'clf__max_depth': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 300}",0.8809523809523809,0.861904761904762,0.8373205741626795,0.8660287081339713,0.8755980861244019,0.864360902255639,0.015109897497274627,24
0.3936199188232422,0.01364675786514467,0.020913219451904295,0.0009580670469920496,6,2,100,"{'clf__max_depth': 6, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.9095238095238095,0.8714285714285714,0.8277511961722488,0.8660287081339713,0.8755980861244019,0.8700660742766007,0.026062316315968455,7
0.741265058517456,0.015946505127907278,0.0326749324798584,0.0020406987478405786,6,2,200,"{'clf__max_depth': 6, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9,0.8714285714285714,0.8277511961722488,0.8803827751196173,0.8851674641148325,0.872946001367054,0.02441909747631223,3
1.0932229518890382,0.03431238374031532,0.04502959251403808,0.0037286506142724584,6,2,300,"{'clf__max_depth': 6, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.9047619047619048,0.8714285714285714,0.8373205741626795,0.8803827751196173,0.8803827751196173,0.874855320118478,0.02179958294630335,2
0.37912654876708984,0.01679637497548423,0.0216066837310791,0.001538054659526362,6,5,100,"{'clf__max_depth': 6, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.9,0.8761904761904762,0.8325358851674641,0.8708133971291866,0.8708133971291866,0.8700706311232628,0.021648003056411274,6
0.7511687278747559,0.023259321287540977,0.03165555000305176,0.0011047810265879718,6,5,200,"{'clf__max_depth': 6, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.8904761904761904,0.8809523809523809,0.8373205741626795,0.8708133971291866,0.8803827751196173,0.8719890635680109,0.01841659937494765,4
1.0853458881378173,0.028449174861578056,0.0481682300567627,0.009511443787014956,6,5,300,"{'clf__max_depth': 6, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.8952380952380953,0.8761904761904762,0.8325358851674641,0.8708133971291866,0.8708133971291866,0.8691182501708818,0.020377826983617474,8
0.37593302726745603,0.012516624515338205,0.01985955238342285,0.002678218912721161,6,10,100,"{'clf__max_depth': 6, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}",0.9,0.8523809523809524,0.8325358851674641,0.8755980861244019,0.8708133971291866,0.8662656641604011,0.02269918325191075,17
0.7271663188934326,0.015785895546810758,0.030650854110717773,0.0014684474781157,6,10,200,"{'clf__max_depth': 6, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}",0.9,0.8476190476190476,0.8373205741626795,0.8708133971291866,0.8708133971291866,0.8653132832080199,0.021727165304630962,20
